"ko","pathway","description","log2FoldChange","padj","Factor"
"ko:K00643","path:ko00260","Glycine, serine and threonine metabolism",1.44241271112267,2.36974507034987e-05,"Vibrio_Vibrio_vs_Control"
"ko:K00643","path:ko01100","Metabolic pathways",1.44241271112267,2.36974507034987e-05,"Vibrio_Vibrio_vs_Control"
"ko:K00643","path:ko01110","Biosynthesis of secondary metabolites",1.44241271112267,2.36974507034987e-05,"Vibrio_Vibrio_vs_Control"
"ko:K00643","path:ko00860","Porphyrin and chlorophyll metabolism",1.44241271112267,2.36974507034987e-05,"Vibrio_Vibrio_vs_Control"
"ko:K01206","path:ko00511","Other glycan degradation",3.46693026138666,1.1589201687313e-06,"Vibrio_Vibrio_vs_Control"
"ko:K01251","path:ko01100","Metabolic pathways",2.12676510279179,0.000425694256077006,"Vibrio_Vibrio_vs_Control"
"ko:K01251","path:ko00270","Cysteine and methionine metabolism",2.12676510279179,0.000425694256077006,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko01110","Biosynthesis of secondary metabolites",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko01130","Biosynthesis of antibiotics",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko00620","Pyruvate metabolism",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko04920","Adipocytokine signaling pathway",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko01120","Microbial metabolism in diverse environments",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko04964","Proximal tubule bicarbonate reclamation",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko04151","PI3K-Akt signaling pathway",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko04922","Glucagon signaling pathway",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko00010","Glycolysis / Gluconeogenesis",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko04931","Insulin resistance",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko04152","AMPK signaling pathway",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko04068","FoxO signaling pathway",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko03320","PPAR signaling pathway",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko00020","Citrate cycle (TCA cycle)",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko04910","Insulin signaling pathway",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01596","path:ko01100","Metabolic pathways",3.06400371532175,1.78634062421496e-29,"Vibrio_Vibrio_vs_Control"
"ko:K01681","path:ko01100","Metabolic pathways",1.37378085460711,0.00415575839370101,"Vibrio_Vibrio_vs_Control"
"ko:K01681","path:ko01210","2-Oxocarboxylic acid metabolism",1.37378085460711,0.00415575839370101,"Vibrio_Vibrio_vs_Control"
"ko:K01681","path:ko01230","Biosynthesis of amino acids",1.37378085460711,0.00415575839370101,"Vibrio_Vibrio_vs_Control"
"ko:K01681","path:ko01200","Carbon metabolism",1.37378085460711,0.00415575839370101,"Vibrio_Vibrio_vs_Control"
"ko:K01681","path:ko01110","Biosynthesis of secondary metabolites",1.37378085460711,0.00415575839370101,"Vibrio_Vibrio_vs_Control"
"ko:K01681","path:ko00020","Citrate cycle (TCA cycle)",1.37378085460711,0.00415575839370101,"Vibrio_Vibrio_vs_Control"
"ko:K01681","path:ko01120","Microbial metabolism in diverse environments",1.37378085460711,0.00415575839370101,"Vibrio_Vibrio_vs_Control"
"ko:K01681","path:ko00630","Glyoxylate and dicarboxylate metabolism",1.37378085460711,0.00415575839370101,"Vibrio_Vibrio_vs_Control"
"ko:K01681","path:ko01130","Biosynthesis of antibiotics",1.37378085460711,0.00415575839370101,"Vibrio_Vibrio_vs_Control"
